property_id,type,city,district,address,area,rooms,price,build_year,status
139,apartment,Kyzylorda,South,86 Avenue,591.1,1,614549315,2000,available
140,house,Astana,West,144 Lane,650.6,2,717014066,2017,available
141,house,Semey,Medeu,5 Boulevard,322.7,1,216932287,1974,available
142,apartment,Astana,West,26 Road,775.5,6,756126825,1993,sold
143,house,Kyzylorda,Bostandyk,40 Street,197.2,5,220245252,1971,sold
144,apartment,Taraz,Turksib,185 Street,970.2,4,593522683,2007,available
145,apartment,Aktobe,East,95 Road,984.8,3,1086145127,2014,available
146,land,Karagandy,Almalinsky,36 Boulevard,483.5,0,335933435,0,sold
147,house,Semey,North,73 Avenue,767.9,2,543787999,2005,available
148,office,Aktobe,Medeu,7 Lane,72.2,2,44296048,1997,available
149,apartment,Astana,Turksib,86 Street,154.8,2,172331725,1967,sold
150,apartment,Kyzylorda,Central,21 Avenue,270.8,6,138403399,2017,available
151,house,Karagandy,West,32 Avenue,253.7,5,252965727,1964,sold
152,apartment,Semey,Central,162 Road,583.5,5,243360547,1995,available
153,apartment,Astana,Auezov,93 Avenue,954.3,4,863052293,2020,available
154,office,Almaty,Turksib,100 Boulevard,268.6,0,166903873,1958,available
155,house,Astana,Almalinsky,189 Boulevard,150.7,2,134222204,1972,sold
156,house,Aktobe,Turksib,47 Street,81.8,6,76597280,1975,available
157,apartment,Almaty,Medeu,80 Road,410.3,6,323614945,1982,available
158,house,Pavlodar,Medeu,200 Avenue,868.5,2,530878223,2005,sold
159,house,Kostanay,Medeu,48 Lane,698.2,2,796371525,1960,sold
160,apartment,Kyzylorda,South,140 Boulevard,334.8,0,182961425,2007,available
161,apartment,Aktobe,Medeu,115 Avenue,732.3,2,608657369,1957,available
162,house,Taraz,Auezov,192 Street,953.7,1,1086820235,2006,available
163,apartment,Taraz,Medeu,99 Road,51.7,1,55563805,1997,available
164,apartment,Shymkent,Auezov,94 Lane,328.1,2,145521779,1973,available
165,apartment,Semey,North,68 Boulevard,710.0,1,776801122,2012,available
166,apartment,Astana,Saryarka,45 Lane,997.3,6,1037214390,1990,available
167,house,Semey,Auezov,75 Boulevard,854.3,5,866070821,1972,sold
168,apartment,Astana,East,36 Street,794.6,0,510825010,2009,sold
169,apartment,Kyzylorda,North,17 Boulevard,410.2,5,392444915,2002,sold
170,apartment,Taraz,Turksib,19 Lane,476.5,4,334643638,2020,available
171,apartment,Shymkent,Bostandyk,129 Avenue,834.8,4,316389379,1991,sold
172,apartment,Semey,West,21 Boulevard,212.4,4,121994301,2018,available
173,house,Kyzylorda,Almalinsky,40 Street,665.6,5,691949063,2022,available
174,office,Astana,Central,165 Road,279.4,1,267448019,1953,available
175,house,Pavlodar,Turksib,78 Lane,260.0,6,218980237,1959,available
176,apartment,Kostanay,Saryarka,119 Street,353.4,1,223384177,1994,reserved
177,apartment,Taraz,Auezov,144 Avenue,332.7,3,133744743,1968,available
178,apartment,Kostanay,Almalinsky,108 Street,963.4,1,1166875148,1990,available
179,apartment,Semey,Saryarka,128 Boulevard,507.4,0,585141555,1980,available
180,apartment,Almaty,West,127 Road,884.7,5,800891080,1986,available
181,office,Kostanay,South,68 Boulevard,768.6,2,214859566,2021,available
182,apartment,Astana,Bostandyk,130 Lane,769.1,2,841538250,1965,available
183,apartment,Taraz,Medeu,143 Boulevard,759.9,1,614755513,1955,available
184,apartment,Taraz,Saryarka,133 Lane,166.0,4,82879501,1990,available
185,land,Pavlodar,Almalinsky,87 Road,1725.3,0,1456425811,0,available
186,office,Taraz,Medeu,173 Avenue,980.3,2,1086906029,1953,available
187,apartment,Kyzylorda,Almalinsky,59 Avenue,591.9,1,497251324,1998,available
188,house,Almaty,Almalinsky,180 Avenue,207.0,3,120540909,1969,available
189,apartment,Semey,Almalinsky,121 Avenue,711.7,4,322083143,2011,available
190,apartment,Shymkent,Saryarka,137 Boulevard,555.3,5,601223473,1983,available
191,apartment,Karagandy,West,143 Boulevard,240.4,2,258557439,2012,available
192,apartment,Pavlodar,West,32 Road,683.1,3,723756604,1994,reserved
193,office,Pavlodar,Central,74 Avenue,359.4,3,351660118,1977,available
194,apartment,Semey,West,36 Avenue,623.4,4,263541073,2017,available
195,apartment,Astana,Bostandyk,85 Lane,118.5,6,59540413,1970,available
196,office,Aktobe,Saryarka,167 Street,760.8,2,474303606,1961,available
197,apartment,Almaty,South,107 Street,935.2,0,1119859563,2000,sold
198,apartment,Pavlodar,Central,3 Boulevard,576.6,0,611587092,2008,reserved
199,apartment,Aktobe,South,130 Lane,287.4,6,99783722,2008,available
200,house,Almaty,Medeu,76 Road,680.9,1,311815038,2001,sold
201,apartment,Astana,Bostandyk,172 Avenue,201.1,1,172326394,1950,available
202,apartment,Pavlodar,Medeu,78 Road,728.4,0,368074820,1980,available
203,apartment,Pavlodar,South,104 Road,924.6,5,987869815,1987,available
204,apartment,Shymkent,Saryarka,40 Lane,752.8,4,517668393,2010,sold
205,office,Karagandy,East,175 Road,875.7,0,684505463,1996,available
206,apartment,Almaty,Auezov,130 Street,581.2,1,260426095,2016,available
207,house,Kyzylorda,Saryarka,24 Road,456.6,0,325026751,2008,available
208,apartment,Pavlodar,Central,102 Boulevard,820.1,5,337373761,2004,available
209,apartment,Almaty,North,121 Avenue,301.3,1,298912154,2003,available
210,office,Aktobe,Bostandyk,97 Avenue,689.1,1,574776621,1972,reserved
211,apartment,Shymkent,East,1 Avenue,978.9,3,902799851,2018,available
212,apartment,Aktobe,Medeu,40 Boulevard,204.7,5,164557748,2003,available
213,office,Almaty,East,53 Avenue,118.9,0,83443658,1956,available
214,apartment,Aktobe,East,139 Street,759.3,6,266777242,1987,available
215,office,Kyzylorda,Medeu,148 Road,777.1,2,458841796,2016,available
216,apartment,Almaty,Auezov,152 Street,633.5,3,506968257,1956,reserved
217,office,Kostanay,Auezov,82 Lane,420.1,2,295676467,2010,available
218,apartment,Shymkent,Saryarka,15 Road,424.4,3,290391336,1981,available
219,apartment,Astana,Saryarka,95 Avenue,544.9,6,233092676,1955,sold
220,apartment,Kyzylorda,Turksib,144 Street,489.8,6,503733211,1951,available
221,apartment,Astana,Saryarka,63 Road,709.7,3,814040533,1986,available
222,apartment,Taraz,West,67 Boulevard,522.6,3,421499170,2010,sold
223,apartment,Karagandy,Medeu,81 Lane,64.8,6,27763695,1983,available
224,apartment,Kostanay,West,40 Street,343.3,3,250657484,2020,available
225,house,Pavlodar,Saryarka,186 Lane,471.6,5,415544025,2019,available
226,office,Semey,Turksib,16 Road,53.1,0,65211764,1950,available
227,office,Karagandy,North,182 Street,29.0,3,19309716,2011,available
228,apartment,Semey,Auezov,106 Avenue,36.4,5,23725158,1952,available
229,house,Kostanay,South,28 Avenue,533.9,1,255066218,1995,available
230,apartment,Taraz,Bostandyk,118 Road,258.3,5,139564834,1960,available
231,office,Almaty,North,104 Lane,389.6,3,136556142,1951,sold
232,apartment,Kostanay,Turksib,85 Road,977.8,0,1261977716,1979,available
233,office,Kyzylorda,Saryarka,70 Avenue,925.7,2,1053042186,1954,available
234,office,Almaty,East,151 Street,757.2,3,860169694,1988,available
235,apartment,Kostanay,Turksib,139 Boulevard,396.2,5,201738499,1960,available
236,land,Almaty,North,112 Street,1741.9,0,1056520654,0,sold
237,land,Kostanay,Medeu,8 Boulevard,1653.7,0,1039807455,0,available
238,apartment,Shymkent,Turksib,150 Lane,104.0,4,52879198,1959,available
239,apartment,Shymkent,Bostandyk,82 Boulevard,124.4,0,139735065,1984,available
240,apartment,Kostanay,Saryarka,143 Road,522.2,0,159127025,1961,available
241,house,Kostanay,Central,75 Lane,400.0,0,390015814,1981,available
242,apartment,Kostanay,South,36 Boulevard,315.1,3,117822966,1985,available
243,apartment,Astana,Medeu,65 Street,726.5,3,532385590,1963,available
244,apartment,Kostanay,Medeu,159 Lane,808.0,2,546917922,1967,available
245,house,Karagandy,Saryarka,81 Street,965.3,2,585119971,2012,reserved
246,house,Taraz,Bostandyk,72 Lane,377.7,4,217275367,1973,available
247,apartment,Aktobe,East,113 Boulevard,834.7,0,968014634,2002,available
248,apartment,Pavlodar,East,65 Street,720.9,6,451476057,2011,available
249,apartment,Kostanay,Auezov,10 Boulevard,707.6,6,584835209,1960,available
250,apartment,Taraz,South,166 Road,63.4,5,55360665,1992,reserved
251,apartment,Almaty,North,67 Street,520.5,4,417542015,2023,available
252,apartment,Aktobe,Turksib,151 Road,167.7,0,113095614,1960,available
253,office,Shymkent,Medeu,80 Boulevard,466.2,1,336755054,1962,available
254,house,Taraz,North,77 Avenue,814.0,0,244379145,1963,available
255,apartment,Karagandy,Auezov,45 Road,176.9,4,119116415,2001,available
256,apartment,Kostanay,Bostandyk,8 Road,885.4,3,704728540,1977,available
257,house,Astana,Almalinsky,27 Road,203.2,2,82022250,2012,available
258,house,Kyzylorda,Bostandyk,157 Lane,595.3,2,360983981,1972,sold
259,house,Pavlodar,Almalinsky,152 Avenue,678.7,2,254148257,1973,available
260,apartment,Kostanay,Bostandyk,153 Street,583.3,3,287275075,1972,available
261,apartment,Shymkent,South,81 Lane,627.0,6,314062366,1967,available
262,apartment,Semey,Auezov,168 Lane,421.0,3,322364492,2012,available
263,apartment,Karagandy,West,9 Boulevard,240.3,2,106616840,2013,available
264,apartment,Astana,West,199 Road,826.8,2,718292034,2006,available
265,land,Astana,Turksib,193 Street,876.3,0,1029885039,0,available
266,office,Aktobe,North,199 Street,225.7,2,253315280,2004,available
267,apartment,Karagandy,East,16 Road,363.8,2,264163130,1987,available
268,apartment,Semey,Turksib,25 Street,963.5,6,532091190,1985,sold
269,apartment,Shymkent,East,38 Boulevard,831.9,6,843329924,1968,available
270,apartment,Kostanay,Bostandyk,116 Avenue,641.0,6,247542786,1985,available
271,office,Aktobe,Saryarka,84 Road,22.4,0,21098989,1995,sold
272,house,Kostanay,East,110 Street,504.8,2,493521688,2023,available
273,office,Taraz,Turksib,196 Avenue,65.0,3,23965642,1970,available
274,apartment,Kostanay,East,177 Street,884.5,2,459738762,1985,available
275,apartment,Astana,Medeu,171 Street,70.8,5,43954516,1979,available
276,apartment,Astana,Central,55 Lane,96.4,4,52039174,1951,available
277,apartment,Astana,Bostandyk,178 Street,488.1,1,343758093,1963,available
278,apartment,Pavlodar,South,98 Street,648.7,5,281404571,1951,available
279,apartment,Taraz,East,161 Street,921.5,4,967643899,1961,sold
280,apartment,Astana,Almalinsky,187 Lane,364.5,3,181905191,1985,available
281,apartment,Kyzylorda,Almalinsky,185 Road,299.2,5,110447271,1988,available
282,house,Karagandy,Bostandyk,76 Avenue,788.1,6,911700788,1964,available
283,house,Astana,Auezov,4 Boulevard,935.2,1,688342028,2003,available
284,house,Aktobe,North,5 Road,86.2,2,49797638,2000,available
285,house,Semey,Bostandyk,109 Lane,100.8,4,68038560,1960,available
286,apartment,Karagandy,South,138 Boulevard,402.9,5,421454542,1958,available
287,apartment,Karagandy,Central,63 Avenue,926.1,0,684255934,1989,available
288,house,Shymkent,North,4 Street,707.5,1,495944152,2016,sold
289,house,Shymkent,Medeu,33 Boulevard,738.3,0,595885789,2004,available
290,apartment,Kyzylorda,Turksib,20 Lane,466.1,2,186528794,1971,available
291,apartment,Astana,Almalinsky,173 Avenue,243.8,4,84278247,1951,available
292,apartment,Kostanay,South,46 Avenue,561.8,5,525521325,1991,available
293,office,Taraz,West,20 Road,385.4,0,199475234,1955,reserved
294,apartment,Aktobe,West,199 Boulevard,340.8,4,229627111,1987,available
295,apartment,Kyzylorda,East,119 Boulevard,599.9,3,797995307,2019,sold
296,apartment,Almaty,Bostandyk,7 Street,550.7,5,581328065,1951,reserved
297,apartment,Kostanay,West,27 Street,539.2,1,432911316,1968,sold
298,apartment,Karagandy,Auezov,106 Boulevard,469.3,5,148073667,1967,available
299,apartment,Kyzylorda,Almalinsky,16 Lane,669.2,1,310536144,1990,sold
300,apartment,Taraz,Medeu,116 Boulevard,248.9,1,116523906,1963,available
301,apartment,Aktobe,Medeu,105 Avenue,545.2,6,245089597,1983,sold
302,apartment,Pavlodar,Almalinsky,11 Street,839.2,2,394512439,1995,available
303,apartment,Pavlodar,West,45 Avenue,953.1,6,740688090,1981,available
304,apartment,Shymkent,North,4 Avenue,833.8,1,393316617,1997,available
305,office,Astana,Almalinsky,151 Boulevard,919.1,0,242586111,2006,sold
306,apartment,Taraz,North,11 Lane,69.6,4,52323147,2013,available
307,house,Shymkent,Medeu,55 Street,289.5,3,258014767,1981,available
308,apartment,Semey,Saryarka,16 Avenue,294.2,1,210635257,2017,available
309,land,Semey,Central,98 Boulevard,1167.5,0,1098267124,0,available
310,apartment,Pavlodar,South,7 Boulevard,605.2,0,744053831,1957,sold
311,apartment,Taraz,Almalinsky,60 Street,118.1,5,61884993,1957,sold
312,office,Kyzylorda,Bostandyk,91 Street,192.6,2,213143230,1953,sold
313,apartment,Kyzylorda,Almalinsky,37 Road,949.4,6,1301379102,2013,available
314,apartment,Almaty,North,15 Street,609.6,0,471710712,1950,available
315,house,Shymkent,Medeu,184 Street,920.4,6,819963860,1968,available
316,office,Astana,Auezov,94 Avenue,386.1,3,298579727,1991,available
317,apartment,Kostanay,Turksib,125 Boulevard,190.7,4,206478632,1995,available
318,apartment,Shymkent,Bostandyk,79 Boulevard,144.8,5,47203334,2023,available
319,land,Kyzylorda,Central,47 Road,909.1,0,976121467,0,available
320,apartment,Aktobe,South,85 Avenue,253.2,2,131822416,1961,sold
321,house,Taraz,Saryarka,3 Boulevard,225.5,5,73484861,1963,sold
322,apartment,Aktobe,Bostandyk,43 Lane,503.2,3,294567395,2011,sold
323,apartment,Karagandy,South,116 Avenue,803.2,0,421212120,1963,available
324,apartment,Kostanay,South,188 Avenue,556.1,0,401186344,2011,sold
325,apartment,Shymkent,Almalinsky,112 Street,72.5,2,30801838,2020,sold
326,house,Pavlodar,Turksib,73 Boulevard,252.8,0,168515476,2012,available
327,apartment,Kostanay,North,76 Road,490.7,0,137696453,1987,reserved
328,apartment,Astana,West,102 Lane,499.3,5,284132756,1999,available
329,office,Taraz,South,115 Avenue,278.0,3,169433614,2022,available
330,house,Astana,North,172 Boulevard,812.0,3,987195025,2020,available
331,apartment,Semey,Bostandyk,138 Lane,581.3,1,352221668,1954,available
332,office,Kyzylorda,Turksib,159 Street,137.9,3,74998372,1977,sold
333,apartment,Kostanay,North,175 Lane,217.9,6,213550423,1983,available
334,house,Astana,North,100 Road,409.4,2,441904671,1951,sold
335,house,Semey,Bostandyk,29 Lane,166.6,4,152411212,1962,sold
336,apartment,Astana,West,138 Boulevard,880.3,2,564291231,2010,available
337,apartment,Shymkent,Almalinsky,156 Lane,58.0,2,43809593,2010,sold
338,office,Almaty,Medeu,78 Boulevard,294.7,3,316039611,1962,reserved
339,apartment,Pavlodar,Saryarka,199 Boulevard,284.0,3,200431694,2006,available
340,office,Aktobe,Auezov,96 Avenue,525.0,1,204305886,2001,available
341,office,Kyzylorda,Central,45 Street,877.7,1,831828194,2008,available
342,apartment,Karagandy,West,95 Lane,515.0,5,624546963,1980,available
343,apartment,Shymkent,Saryarka,151 Road,362.8,1,345440089,1961,available
344,apartment,Shymkent,Almalinsky,200 Street,860.0,5,381532065,2002,available
345,office,Almaty,Saryarka,34 Street,609.1,0,305398493,1989,sold
346,house,Pavlodar,Bostandyk,97 Boulevard,469.8,1,362245259,2000,available
347,apartment,Taraz,Auezov,166 Road,616.9,2,560935439,1993,reserved
348,house,Pavlodar,West,168 Boulevard,204.6,4,234682637,2001,available
349,house,Almaty,Turksib,128 Boulevard,274.2,3,182106915,1954,available
350,land,Karagandy,Medeu,186 Street,1498.1,0,1297346475,0,sold
351,apartment,Pavlodar,South,169 Road,197.5,0,156705240,2021,sold
352,apartment,Taraz,Turksib,23 Street,368.2,5,386535152,1992,available
353,apartment,Aktobe,North,121 Avenue,869.1,4,749135225,2010,sold
354,apartment,Kostanay,Auezov,77 Lane,73.0,6,38070018,1993,available
355,apartment,Aktobe,South,81 Street,783.4,3,560943289,1990,available
356,apartment,Pavlodar,East,195 Street,584.8,1,478776435,1961,available
357,apartment,Kostanay,Bostandyk,110 Lane,395.7,0,337297560,1951,sold
358,house,Semey,East,5 Avenue,634.2,1,367572761,1989,available
359,apartment,Kyzylorda,West,43 Avenue,827.4,2,937675354,2016,available
360,apartment,Shymkent,Medeu,126 Boulevard,755.1,1,1016514418,2001,available
361,apartment,Shymkent,East,188 Avenue,597.9,1,266387923,1954,available
362,house,Semey,Almalinsky,13 Road,994.8,5,448374843,1956,available
363,apartment,Kostanay,North,141 Boulevard,484.9,1,252620745,1951,available
364,house,Semey,West,160 Road,706.7,3,623332504,1965,available
365,house,Aktobe,East,156 Street,782.4,6,531130374,2002,available
366,apartment,Aktobe,East,177 Lane,344.0,0,89532334,1964,sold
367,house,Shymkent,North,200 Road,93.5,5,33002432,1979,available
368,land,Pavlodar,Saryarka,13 Avenue,1701.1,0,2109101321,0,available
369,house,Kostanay,North,25 Avenue,29.5,1,22974504,1995,sold
370,land,Pavlodar,North,96 Boulevard,692.6,0,542221986,0,available
371,apartment,Aktobe,Bostandyk,167 Street,130.8,5,148784017,1970,available
372,office,Aktobe,Almalinsky,174 Lane,197.6,3,206659331,1966,available
373,apartment,Kostanay,Saryarka,12 Avenue,276.4,2,98664579,2017,sold
374,apartment,Kyzylorda,East,172 Boulevard,528.7,5,412316053,1981,available
375,house,Kostanay,South,143 Road,73.5,5,84045425,2010,sold
376,office,Astana,Saryarka,83 Street,344.3,2,105704965,1998,available
377,apartment,Aktobe,Saryarka,147 Lane,106.3,3,63273914,2013,sold
378,apartment,Kostanay,Bostandyk,10 Road,558.1,6,221967624,1988,sold
379,apartment,Aktobe,Medeu,94 Avenue,820.3,6,595597764,2010,sold
